,filename,fileid,char_start_offset_edu,char_end_offset_edu,speech_sentence_id,paragraph_id,speech_edu_id,text_edu
0,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,0,69,0,0,0,"Let me thank the Nigerian presidency for convening this open meeting,"
1,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,70,106,0,0,1,"which does not cease to surprise us,"
2,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,107,155,0,0,2,judging by some of the statements we have heard.
3,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,156,239,1,0,3,I might refer to some of the comments by our colleague from the Russian Federation.
4,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,240,324,2,0,4,I would also like to thank Under Secretary-General Jeffrey Feltman for his briefing.
5,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,326,358,4,2,5,"As so many of us have said here,"
6,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,359,458,4,2,6,the international community had placed high hopes on international mediation and monitoring efforts
7,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,459,507,4,2,7,and on the 17 April Geneva statement on Ukraine.
8,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,508,530,5,2,8,"But, as we know today,"
9,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,531,614,5,2,9,"the Geneva statement is just another document to be signed and discarded by Russia,"
10,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,615,908,5,2,10,"adding to the growing list of breaches of Russia's international commitments, such as the Helsinki Final Act, the 1991 Almaty Declaration, the Budapest Memorandum of 1994, the Treaty of Friendship and Cooperation between Russia and Ukraine of l997 and the Charter of the United Nations itself."
11,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,910,939,7,4,11,"Despite growing provocations,"
12,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,940,1003,7,4,12,the Ukrainian authorities have taken a number of concrete steps
13,UNSC_2014_SPV.7165_spch016_edu_Lithuania.txt,UNSC_2014_SPV.7165_spch016,1004,1041,7,4,13,to follow up on the Geneva statement.
